deposit-transaction 25/24/24 10:24:32 [id=1, user=Buffer, account=1 amount: 2000.0]

deposit-transaction 25/27/24 10:27:47 [id=1, user=Buffer, account=1 amount: 2000.0]

deposit-transaction 25/29/24 10:29:46 [id=1, user=Buffer, account=1 amount: 2000.0]

deposit-transaction 25/33/24 10:33:47 [id=1, user=Buffer, account=1 amount: 2000.0]

deposit-transaction 25/47/24 11:47:21 [id=1, user=Buffer, account=1 amount: 2000.0]

deposit-transaction 25/47/24 11:47:52 [id=1, user=Buffer, account=1 amount: 2000.0]

deposit-transaction 25/04/24 11:58:35 [id=1, user=Lavaliere, account=1 amount: 2000.0]

deposit-transaction 25/04/24 12:09:35 [id=1, user=Buffer, account=1 amount: 2000.0]

deposit-transaction 25/04/24 12:19:19 [id=1, user=Buffer, account=1 amount: 2000.0]

deposit-transaction 25/04/24 20:27:16 [id=1, user=Buffer, account=1 amount: 2000.0]

deposit-transaction 25/04/24 23:16:57 [id=1, user=thiago, account=1 amount: 2000.0]

